file,line_number,original,replacement
_docs/_partners/ecommerce/shopify/shopify_data_features.md,832,"If you plan to integrate with a custom external ID (for either the [standard integration]({{site.baseurl}}/partners/ecommerce/shopify/shopify_standard_integration/#step-4-configure-how-you-manage-users) or the [custom integration]({{site.baseurl}}/partners/ecommerce/shopify/shopify_custom_integration/#step-6-configure-how-you-manage-users-optional)), you is required to add your custom external ID as a Shopify customer metafield to all existing Shopify customer profiles and then perform the historical backfill. ","If you plan to integrate with a custom external ID (for either the [standard integration]({{site.baseurl}}/partners/ecommerce/shopify/shopify_standard_integration/#step-4-configure-how-you-manage-users) or the [custom integration]({{site.baseurl}}/partners/ecommerce/shopify/shopify_custom_integration/#step-6-configure-how-you-manage-users-optional)), you are required to add your custom external ID as a Shopify customer metafield to all existing Shopify customer profiles and then perform the historical backfill. "
_docs/_partners/ecommerce/shopify/shopify_catalogs.md,45,"You receives a dashboard notification, and your status will display as “In Progress” to indicate the initial sync is starting. Note that the time it takes for the sync to finish will depend on how many products and variants Braze will need to sync over from Shopify. During this time, you can leave this page and wait for a dashboard notification or email to notify you when this is complete.","You receive a dashboard notification, and your status will display as “In Progress” to indicate the initial sync is starting. Note that the time it takes for the sync to finish will depend on how many products and variants Braze will need to sync over from Shopify. During this time, you can leave this page and wait for a dashboard notification or email to notify you when this is complete."
_docs/_partners/ecommerce/shopify/shopify_catalogs.md,51,"You receives a dashboard notification and an email after the sync is successful. The Shopify partner page will also update the status under Shopify catalogs to “Syncing"". You can view your products by clicking the catalog name on the Shopify partner page.","You receive a dashboard notification and an email after the sync is successful. The Shopify partner page will also update the status under Shopify catalogs to “Syncing"". You can view your products by clicking the catalog name on the Shopify partner page."
_docs/_partners/canvas_audience_sync/overview.md,106,"If you have collected the [iOS IDFA through the Braze SDK]({{site.baseurl}}/developer_guide/platform_integration_guides/ios/initial_sdk_setup/other_sdk_customizations/#optional-idfa-collection), you is able to use the ""Ads Tracking Enabled"" filter. Select the value as `true` to only send users into Audience Sync destinations where they have opted in.","If you have collected the [iOS IDFA through the Braze SDK]({{site.baseurl}}/developer_guide/platform_integration_guides/ios/initial_sdk_setup/other_sdk_customizations/#optional-idfa-collection), you are able to use the ""Ads Tracking Enabled"" filter. Select the value as `true` to only send users into Audience Sync destinations where they have opted in."
_docs/_partners/canvas_audience_sync/snapchat_audience_sync.md,56,"Once successfully connected, you is returned to the partner page, where you can view which accounts are connected and disconnect existing accounts.","Once successfully connected, you are returned to the partner page, where you can view which accounts are connected and disconnect existing accounts."
_docs/_partners/canvas_audience_sync/criteo_audience_sync.md,54,"Once you have successfully connected, you is taken back to the partner page, where you can view which accounts are connected and disconnect existing accounts.","Once you have successfully connected, you are taken back to the partner page, where you can view which accounts are connected and disconnect existing accounts."
_docs/_partners/canvas_audience_sync/criteo_audience_sync.md,64,"If you have collected the [iOS IDFA through the Braze SDK]({{site.baseurl}}/developer_guide/platform_integration_guides/swift/initial_sdk_setup/other_sdk_customizations/#optional-idfa-collection), you is able to use the Ads Tracking Enabled filter. Select the value as true to only send users into Audience Sync destinations where they have opted in.","If you have collected the [iOS IDFA through the Braze SDK]({{site.baseurl}}/developer_guide/platform_integration_guides/swift/initial_sdk_setup/other_sdk_customizations/#optional-idfa-collection), you are able to use the Ads Tracking Enabled filter. Select the value as true to only send users into Audience Sync destinations where they have opted in."
_docs/_partners/canvas_audience_sync/facebook_audience_sync.md,17,"Any criteria you'd typically use to trigger a message (push, email, SMS, or webhook) in a Braze Canvas based on your user data can now be used to trigger an ad to that user in Facebook using custom audiences. For example, when you configure an Audience Sync to Facebook, you is able to use a wide variety of first-party fields like email, phone, first name, and last name.","Any criteria you'd typically use to trigger a message (push, email, SMS, or webhook) in a Braze Canvas based on your user data can now be used to trigger an ad to that user in Facebook using custom audiences. For example, when you configure an Audience Sync to Facebook, you are able to use a wide variety of first-party fields like email, phone, first name, and last name."
_docs/_partners/canvas_audience_sync/linkedin_audience_sync.md,50,"Once you have successfully connected, you is returned to the partner page, where you can view which accounts are connected and disconnect existing accounts.","Once you have successfully connected, you are returned to the partner page, where you can view which accounts are connected and disconnect existing accounts."
_docs/_partners/canvas_audience_sync/linkedin_audience_sync.md,60,"If you have collected the [iOS IDFA through the Braze SDK]({{site.baseurl}}/developer_guide/platform_integration_guides/swift/initial_sdk_setup/overviewother_sdk_customizations/#optional-idfa-collection), you is able to use the **Ads Tracking Enabled** filter. Select the value as `true` to only send users into Audience Sync destinations where they have opted in. ","If you have collected the [iOS IDFA through the Braze SDK]({{site.baseurl}}/developer_guide/platform_integration_guides/swift/initial_sdk_setup/overviewother_sdk_customizations/#optional-idfa-collection), you are able to use the **Ads Tracking Enabled** filter. Select the value as `true` to only send users into Audience Sync destinations where they have opted in. "
_docs/_partners/canvas_audience_sync/faq.md,26,"For example, when you configure an Audience Sync to Facebook, you is able to use a wide variety of first-party fields like email, phone, first name, and last name, whereas, with Snapchat, you only be able to select either email, phone, or mobile advertiser ID. ","For example, when you configure an Audience Sync to Facebook, you are able to use a wide variety of first-party fields like email, phone, first name, and last name, whereas, with Snapchat, you only be able to select either email, phone, or mobile advertiser ID. "
_docs/_partners/message_orchestration/attribution/kochava.md,71,[Add a postback](https://support.kochava.com/campaign-management/create-a-kochava-certified-postback) in your Kochava dashboard. You is prompted for the data import key and REST endpoint that you found in the Braze dashboard.,[Add a postback](https://support.kochava.com/campaign-management/create-a-kochava-certified-postback) in your Kochava dashboard. You are prompted for the data import key and REST endpoint that you found in the Braze dashboard.
_docs/_partners/message_orchestration/templates/sageflo.md,41,Your Sageflo account team will take point on setting up your integration. You is asked to provide your Braze API credentials and Sageflo will work with your marketing team to configure audience segments for specific locations and branches. ,Your Sageflo account team will take point on setting up your integration. You are asked to provide your Braze API credentials and Sageflo will work with your marketing team to configure audience segments for specific locations and branches. 
_docs/_partners/message_orchestration/retargeting/facebook.md,52,"4. After Braze is linked to your Facebook account, select which ad accounts you would like to sync within your Braze workspace. <br><br>![A list of available ad accounts you can connect to Facebook.]({% image_buster /assets/img/fb/afb_4.png %}){: style=""max-width:70%;""}<br><br> After you connect, you is taken back to the partner page, where you can view which accounts are connected and disconnect existing accounts. <br><br> ![An updated version of the Facebook technology partners page showing the ad accounts successfully connected.]({% image_buster /assets/img/fb/afb_5.png %}){: style=""max-width:70%;""}<br>","4. After Braze is linked to your Facebook account, select which ad accounts you would like to sync within your Braze workspace. <br><br>![A list of available ad accounts you can connect to Facebook.]({% image_buster /assets/img/fb/afb_4.png %}){: style=""max-width:70%;""}<br><br> After you connect, you are taken back to the partner page, where you can view which accounts are connected and disconnect existing accounts. <br><br> ![An updated version of the Facebook technology partners page showing the ad accounts successfully connected.]({% image_buster /assets/img/fb/afb_5.png %}){: style=""max-width:70%;""}<br>"
_docs/_partners/message_orchestration/retargeting/facebook.md,69,"3. If you haven't already activated Facebook within Braze, you is prompted to go to the Facebook Technology Partners page in the dashboard. If you already activated Facebook through **Technology Partners** > **Facebook**, you is able to select your Facebook ad account and the user fields to export. <br><br> There are three possible user fields you can export:","3. If you haven't already activated Facebook within Braze, you are prompted to go to the Facebook Technology Partners page in the dashboard. If you already activated Facebook through **Technology Partners** > **Facebook**, you are able to select your Facebook ad account and the user fields to export. <br><br> There are three possible user fields you can export:"
_docs/_partners/message_orchestration/retargeting/facebook.md,79,"4. After you select the user field, select **Export Segment**. Like CSV exports, you receives an email when the segment has finished exporting into Facebook.","4. After you select the user field, select **Export Segment**. Like CSV exports, you receive an email when the segment has finished exporting into Facebook."
_docs/_partners/message_orchestration/retargeting/facebook.md,93,"- If you have collected the [iOS IDFA through the Braze SDK]({{site.baseurl}}/developer_guide/platform_integration_guides/swift/initial_sdk_setup/other_sdk_customizations/#optional-idfa-collection), you is able to use the **Ads Tracking Enabled** filter. Select the value as `true` to only send users into Audience Sync destinations where they have opted in. ","- If you have collected the [iOS IDFA through the Braze SDK]({{site.baseurl}}/developer_guide/platform_integration_guides/swift/initial_sdk_setup/other_sdk_customizations/#optional-idfa-collection), you are able to use the **Ads Tracking Enabled** filter. Select the value as `true` to only send users into Audience Sync destinations where they have opted in. "
_docs/_partners/message_personalization/location/foursquare.md,30,"To integrate the two platforms, you must integrate the two SDKs and map the matching user fields. After integrating the Pilgrim SDK, you receives location events on the device or to a webhook. ","To integrate the two platforms, you must integrate the two SDKs and map the matching user fields. After integrating the Pilgrim SDK, you receive location events on the device or to a webhook. "
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/seen.md,55,      <td>Use the following webhook URL. You receives your <code>campaign_slug</code> from SEEN to call the correct endpoint.<br><br><code>https://api.seen.io/v1/campaigns/{campaign_slug}/receivers/</code></td>,      <td>Use the following webhook URL. You receive your <code>campaign_slug</code> from SEEN to call the correct endpoint.<br><br><code>https://api.seen.io/v1/campaigns/{campaign_slug}/receivers/</code></td>
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/seen.md,74,      <td>Use the following information to fill out your request headers:<br>- <strong>Authorization:</strong> <code>Token {token}</code><br>- <strong>Content-Type:</strong> <code>application/json</code><br><br>You receives your Authentication Token from SEEN.</td>,      <td>Use the following information to fill out your request headers:<br>- <strong>Authorization:</strong> <code>Token {token}</code><br>- <strong>Content-Type:</strong> <code>application/json</code><br><br>You receive your Authentication Token from SEEN.</td>
_docs/_partners/message_personalization/dynamic_content/content_optimization_testing/jacquard.md,30,"You'll need Jacquard to set up a dedicated Amazon S3 bucket to receive your click tracking events from Braze. Reach out to your Jacquard customer success manager to start this process. When the bucket is created, you is provided unique credentials to create your Current. ","You'll need Jacquard to set up a dedicated Amazon S3 bucket to receive your click tracking events from Braze. Reach out to your Jacquard customer success manager to start this process. When the bucket is created, you are provided unique credentials to create your Current. "
