file_path,line_number,line_text
_docs/_user_guide/message_building_by_channel/email/email_setup/setting_up_ips_and_domains.md,41,"This method will set up one sending domain, one tracking domain, and one IP in total for a company. If you're planning to set up more, please consult with Braze Onboarding team (method 1)."
_docs/_user_guide/message_building_by_channel/whatsapp/meta_resources.md,159,"**If you have any further questions about this update, please reach out to your Meta partner representative.**"
_docs/_user_guide/message_building_by_channel/whatsapp/meta_resources.md,166,Meta intends to continue such experimentation on the WhatsApp platform. Please see [Meta’s documentation](https://developers.facebook.com/docs/whatsapp/on-premises/guides/experiments?content_id=86oue5PtwEgcBJl) for more information.
_docs/_user_guide/message_building_by_channel/whatsapp/meta_resources.md,182,This 130472 error code will state “User’s number is part of an experiment.” Please see [Meta’s documentation](https://developers.facebook.com/docs/whatsapp/cloud-api/support/error-codes?content_id=8SJRLBEjYGvXO9k) for more information on WhatsApp Cloud API error codes.
_docs/_user_guide/message_building_by_channel/whatsapp/message_processing/opt-ins_and_opt-outs.md,229,"| `Is` | `STOP` | Catches any whole word use of ""stop"" regardless of case. For example, this catches ""stop"" but not ""please stop"". |"
_docs/_user_guide/message_building_by_channel/whatsapp/message_processing/opt-ins_and_opt-outs.md,231,"| `Matches regex` | `(?i)STOP(?-i)` | Catches any use of ""STOP"" in any case. For example, this catches ""stop"", ""please stop"", and ""never stop sending me messages"". |"
_docs/_user_guide/message_building_by_channel/whatsapp/message_processing/user_messages.md,88,"You will most likely want a reply message for each response. We recommend having a catch-all option for responses outside the bounds of quick replies (such as for customers who respond with a general message rather than a predetermined prompt). For example, ""We’re sorry, we didn’t recognize your response. For support issues, please message <support channel>."""
_docs/_user_guide/data/distribution/export_braze_data/export_troubleshooting.md,39,"### ""Looks like the file doesn't exist anymore, please check to make sure nothing is deleting objects from your bucket"""
_docs/_user_guide/analytics/query_builder.md,96,"In order to generate your SQL, Braze will send your prompts to OpenAI’s API Platform. All queries sent to OpenAI from Braze are anonymized, meaning that OpenAI will not be able to identify from whom the query was sent unless you include uniquely identifiable information in the content you provide. As detailed in [OpenAI’s API Platform Commitments](https://openai.com/policies/api-data-usage-policies), data sent to OpenAI’s API via Braze is not used to train or improve their models and will be deleted after 30 days. Please ensure that you adhere to OpenAI’s policies relevant to you, including the [Usage Policy](https://openai.com/policies/usage-policies). Braze makes no warranty of any kind with respect to any AI-generated content."
_docs/_releases/2024/2_6_24.md,102,"        - If you are using your own `InAppMessageWebViewClient` or `InAppMessageHtmlBaseView`, please compare them against the original classes to make sure you're implementation is correctly loading the assets."
_docs/_releases/2024/2_6_24.md,112,"    - This version updates the iOS binding to use the [Braze Swift SDK](https://github.com/braze-inc/braze-swift-sdk/). Most iOS public APIs have changed, please refer to our [migration guide](https://braze-inc.github.io/braze-swift-sdk/documentation/braze/appboy-migration-guide/) (Swift) for guidance about replacement to use. We provide compatibility bindings to keep making use of the old public APIs."
_docs/_partners/data_and_analytics/ab_testing/vwo.md,91,         Please confirm once the properties have been enabled in our account.<br><br>
_docs/_partners/data_and_analytics/ab_testing/kameleoon.md,123,         Please confirm once the properties have been enabled in our account.<br><br>
_docs/_partners/data_and_analytics/loyalty/sessionm.md,25,| SessionM | A SessionM Connect REST endpoint | Your endpoint will depend on the SessionM URL of your instance. Please reach out to your SessionM technical account manager or Delivery team to provide. |
_docs/_partners/data_and_analytics/loyalty/sessionm.md,26,| SessionM | A SessionM Connect REST Authorization string | The SessionM Connect Basic Authorization string associated with your instance. This authentication string can be used for all connect based calls including get_user_offers. Please reach out to your SessionM technical account manager or Delivery team to provide. |
_docs/_partners/data_and_analytics/loyalty/eagleeye.md,161,"For integration support or troubleshooting, please contact the Eagle Eye support team at [support@eagleeye.com](mailto:support@eagleeye.com)."
_docs/_partners/data_and_analytics/loyalty/punchh/code_generation.md,148,| `coupon_code_error` | Please enter a valid promo code | The code used is invalid. |
_docs/_partners/data_and_analytics/loyalty/punchh/code_generation.md,150,"| `usage_exceeded` | The usage for this coupon code's campaign is full. Please try next time. | The usage of the code exceeds the number of users allowed to use it. For example, if the dashboard configuration allows a code to be used by 3,000 users and the number of users exceeds 3,000, this error will occur. |"
_docs/_partners/data_and_analytics/customer_data_platform/adobe/event_forwarding_extension.md,183,"All attributes added within the configuration is sent each time the event is sent to Braze, regardless of whether the attribute's value has changed. When configuring user attributes, please ensure you know how this will affect your data point usage."
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,62,"All events sent to mParticle will include the user's `external_user_id` as the `customerid`. At this time, Braze does not send event data for users who do not have their `external_user_id` set. If you'd like to map the `external_user_id` to a different ID in mParticle that is not the default `customerid`, please contact your Braze CSM."
_docs/_partners/additional_channels_and_extensions/additional_channels/advertising/liveramp.md,115,"With your data now pseudonymized to your dedicated encoding of RampID, you have the ability to share the RampID-based tables to LiveRamp’s Managed Activation Application for streamlined fulfillment to your key advertising platform partners. The Activation Application includes a business-user friendly interface for additional segmentation and selection/configuration of downstream destination partners. For more details on the application please reach out to your LiveRamp account team or [snowflake@liveramp.com](mailto:snowflake@liveramp.com)."
_docs/_partners/ecommerce/tapcart.md,36,"If you have any additional questions, please reach out to your Tapcart Implementation Specialist or email [help@tapcart.co](mailto:help@tapcart.co)."
_docs/_partners/ecommerce/ordering_payments_subscription/narvar.md,32,"If you’re interested in additional notification types or channels, please contact your Braze and Narvar CSM."
_docs/_partners/canvas_audience_sync/facebook_audience_sync.md,274,"      <td>On the Facebook Technology Partner page, you are seeing “Connected”, but there’s an error on the Facebook Audience Sync step when syncing an audience, “Failed to create audience 'audience name'"". Authorization of your Facebook account failed. Please visit the Technology Partners page to reconnect your account.</td>"
_docs/_partners/canvas_audience_sync/faq.md,32,"The data you select to send to your Audience Sync destination is normalized. Each partner may have different specifications for data normalization based on their API requirements, so please review each partner-specific endpoint for further details."
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/future_anthem.md,15,This feature is currently in Early Access. Please reach out to the Future Anthem Customer Success Team to get started.
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,15,"For more information on Stories, the Movable Ink Customer Data API, and how Movable Ink leverages behavioral data, please visit the following support center articles:"
_docs/_hidden/other/support_contact.md,1471,"                          Braze technical support operates during standard business hours across multiple time zones to serve our global customer base. For specific support hours in your region or for issues logged outside of business hours, please refer to the support handbook. Response times may vary based on when your request is submitted, your support tier, and the severity of the issue."
_docs/_hidden/other/documentation_request.md,457,"                <div class=""sublabel"">If this request is time-sensitive or related to a feature release, please enter a due date.</div>"
_docs/_hidden/other/documentation_request.md,513,              Please wait up to ten seconds after submitting for your request to process.
_docs/_hidden/other/feedback.md,236,      feedback_div.html('Please provide a rating and feedback');
_docs/_hidden/other/feedback.md,268,          feedback_div.html('Error. Please try again at a later time.');
