file,line_number,original,replacement
_docs/_user_guide/administrative/app_settings/company_settings/security_settings.md,225,"Selecting and defining certain fields as PII fields only affects what Users can view on the Braze dashboard and does not impact how the End User data in such PII fields is handled.<br><br>Consult your legal team to align your dashboard's settings with any privacy regulations and policies applicable to your company, including those related to [data retention]({{site.baseurl}}/data_retention/).","Selecting and defining certain fields as PII fields only affects what Users can view on the Braze dashboard and does not impact how the End User data in such PII fields are handled.<br><br>Consult your legal team to align your dashboard's settings with any privacy regulations and policies applicable to your company, including those related to [data retention]({{site.baseurl}}/data_retention/)."
_docs/_user_guide/administrative/app_settings/company_settings/security_settings.md,260,You are responsible for determining the correct preferences for your workspace. The best way to determine the appropriate settings is to review with internal teams sending events data to Braze and to teams using message extras in Braze to confirm whether the fields may contain PII.  ,You are responsible for determining the correct preferences for your workspace. The best way to determine the appropriate settings are to review with internal teams sending events data to Braze and to teams using message extras in Braze to confirm whether the fields may contain PII.  
_docs/_user_guide/brazeai/predictive_events/analytics.md,60,"Using this information, we encourage you to decide how many of the true positives you want to capture, how many false positives you can accept being targeted, and what the cost of errors is for your business. If you are sending out a valuable promotion, you may want to target only non-purchasers (false positives) by favoring the left side of the chart. Or, you may want to encourage buyers who often purchase (true positives) to do so again by selecting a section of users that favors the right side of the chart.","Using this information, we encourage you to decide how many of the true positives you want to capture, how many false positives you can accept being targeted, and what the cost of errors are for your business. If you are sending out a valuable promotion, you may want to target only non-purchasers (false positives) by favoring the left side of the chart. Or, you may want to encourage buyers who often purchase (true positives) to do so again by selecting a section of users that favors the right side of the chart."
_docs/_user_guide/message_building_by_channel/push/users_and_subscriptions.md,89,"Because a user's decision is final and you can't ask again after they decline, using [push primer]({{site.baseurl}}/user_guide/message_building_by_channel/push/best_practices/push_primer_messages/) in-app messages is an important strategy for increasing your opt-in rates.","Because a user's decision is final and you can't ask again after they decline, using [push primer]({{site.baseurl}}/user_guide/message_building_by_channel/push/best_practices/push_primer_messages/) in-app messages are an important strategy for increasing your opt-in rates."
_docs/_user_guide/message_building_by_channel/email/transactional_message_api_campaign.md,46,The campaign creation flow for Transaction Email campaigns is simplified compared to that of a [standard email campaign]({{site.baseurl}}/user_guide/message_building_by_channel/email/html_editor/creating_an_email_campaign/) to ensure your business-critical transaction email can reach all users.,The campaign creation flow for Transaction Email campaigns are simplified compared to that of a [standard email campaign]({{site.baseurl}}/user_guide/message_building_by_channel/email/html_editor/creating_an_email_campaign/) to ensure your business-critical transaction email can reach all users.
_docs/_user_guide/message_building_by_channel/email/preference_center/dnd_preference_center.md,119,"If an error occurs when a user selects **Save** on a preference center, they will be presented with the following default error message, which cannot be customized or styled in the editor. However, localization of the error messages is still supported on these pages. ","If an error occurs when a user selects **Save** on a preference center, they will be presented with the following default error message, which cannot be customized or styled in the editor. However, localization of the error messages are still supported on these pages. "
_docs/_user_guide/data/activation/catalogs.md,67,"Catalogs are a data storage feature. They contain large sets of data that can be referenced in your messages for personalization. To actually reference the data, you'll use [Liquid]({{site.baseurl}}/user_guide/personalization_and_dynamic_content/liquid/) as the templating language. In other words, catalogs is storage where the data is held, and Liquid is the language that pulls the relevant data from the storage.","Catalogs are a data storage feature. They contain large sets of data that can be referenced in your messages for personalization. To actually reference the data, you'll use [Liquid]({{site.baseurl}}/user_guide/personalization_and_dynamic_content/liquid/) as the templating language. In other words, catalogs are storage where the data is held, and Liquid is the language that pulls the relevant data from the storage."
_docs/_user_guide/data/activation/catalogs.md,73,"Data storage for catalogs is limited based on the size of the catalog items, which may be different from the sizes of uploaded CSV files.","Data storage for catalogs are limited based on the size of the catalog items, which may be different from the sizes of uploaded CSV files."
_docs/_user_guide/data/activation/custom_data/managing_custom_data.md,87,"Blocklisting a high number of events and attributes is possible, but not advisable. This is because each time an event is performed or an attribute is (potentially) sent up to Braze, this event or attribute has to be checked against the entire blocklist.","Blocklisting a high number of events and attributes are possible, but not advisable. This is because each time an event is performed or an attribute is (potentially) sent up to Braze, this event or attribute has to be checked against the entire blocklist."
_docs/_user_guide/data/activation/catalogs/create.md,211,The storage size for the free version of catalogs is up to 100&nbsp;MB. You can have unlimited items as long as they're under 100&nbsp;MB. ,The storage size for the free version of catalogs are up to 100&nbsp;MB. You can have unlimited items as long as they're under 100&nbsp;MB. 
_docs/_user_guide/data/distribution/braze_currents/event_glossary/message_engagement_events.md,10271,This event is created when an RCS messages is sent out of Braze to our last-mile delivery partners.,This event is created when an RCS messages are sent out of Braze to our last-mile delivery partners.
_docs/_user_guide/analytics/reporting/global_control_group_reporting.md,46,"| Conversion Rate | The estimated percentage of users in your control or treatment group that complete your selected event during the time period selected. This is calculated by adding the number of events from the time period and dividing it by the sum of users within the group each day. This can only be approximated because group size fluctuates regularly as new users enter your Global Control Group, and events are total—and not unique—events. If the number of conversions is very small and your control or treatment groups are very large, then the conversion rate may round to 0%. If the number of events is very high—for example, in cases where one user may do more than one event per day—then the conversion rate can be over 100%. | Sum of the number of events for those users over that time period ÷ sum of users in the group each day |","| Conversion Rate | The estimated percentage of users in your control or treatment group that complete your selected event during the time period selected. This is calculated by adding the number of events from the time period and dividing it by the sum of users within the group each day. This can only be approximated because group size fluctuates regularly as new users enter your Global Control Group, and events are total—and not unique—events. If the number of conversions is very small and your control or treatment groups are very large, then the conversion rate may round to 0%. If the number of events are very high—for example, in cases where one user may do more than one event per day—then the conversion rate can be over 100%. | Sum of the number of events for those users over that time period ÷ sum of users in the group each day |"
_docs/_user_guide/getting_started/workspaces.md,50,The aggregation of data across app instances in these filters is why we do not recommend housing substantially different apps within the same workspace. It can make targeting tricky!,The aggregation of data across app instances in these filters are why we do not recommend housing substantially different apps within the same workspace. It can make targeting tricky!
_docs/_releases/home.md,302,Selecting and [defining certain fields as PII fields]({{site.baseurl}}/user_guide/administrative/app_settings/company_settings/security_settings#view-pii) only affects what Users can view on the Braze dashboard and does not impact how the End User data in such PII fields is handled.,Selecting and [defining certain fields as PII fields]({{site.baseurl}}/user_guide/administrative/app_settings/company_settings/security_settings#view-pii) only affects what Users can view on the Braze dashboard and does not impact how the End User data in such PII fields are handled.
_docs/_releases/2022/2_8_22.md,27,Coming soon! Object and object array data type support for custom attributes is arriving in Spring 2022.,Coming soon! Object and object array data type support for custom attributes are arriving in Spring 2022.
_docs/_releases/2025/8_19_25.md,37,Selecting and [defining certain fields as PII fields]({{site.baseurl}}/user_guide/administrative/app_settings/company_settings/security_settings#view-pii) only affects what Users can view on the Braze dashboard and does not impact how the End User data in such PII fields is handled.,Selecting and [defining certain fields as PII fields]({{site.baseurl}}/user_guide/administrative/app_settings/company_settings/security_settings#view-pii) only affects what Users can view on the Braze dashboard and does not impact how the End User data in such PII fields are handled.
_docs/_releases/2024/2_6_24.md,38,Braze CDI support for catalogs is now available for [Databricks sources]({{site.baseurl}}/user_guide/data_and_analytics/cloud_ingestion/sync_catalogs_data/#step-2-integrate-cloud-data-ingestion-with-catalog-data).,Braze CDI support for catalogs are now available for [Databricks sources]({{site.baseurl}}/user_guide/data_and_analytics/cloud_ingestion/sync_catalogs_data/#step-2-integrate-cloud-data-ingestion-with-catalog-data).
_docs/_partners/isv_partners/currents_integration.md,23,"For most error types, (such as server errors, network connection errors, etc.), Braze continues to queue and retry event transmissions for up to 24 hours. After that time, non-transmitted events is dropped. Connectors with consistently poor error rates or uptime is automatically suspended.","For most error types, (such as server errors, network connection errors, etc.), Braze continues to queue and retry event transmissions for up to 24 hours. After that time, non-transmitted events are dropped. Connectors with consistently poor error rates or uptime is automatically suspended."
_docs/_partners/data_and_analytics/cohort_import/treasuredata.md,150,"After running the query, these device IDs is added to the cohort in Braze:","After running the query, these device IDs are added to the cohort in Braze:"
_docs/_partners/data_and_analytics/business_intelligence/looker.md,66,Only existing users is flagged. You cannot use pivoted Looks when flagging data in Braze.,Only existing users are flagged. You cannot use pivoted Looks when flagging data in Braze.
_docs/_partners/data_and_analytics/ab_testing/kameleoon.md,96,"Furthermore, these events is accessible through [Currents custom event objects]({{site.baseurl}}/user_guide/data/distribution/braze_currents/event_glossary/customer_behavior_events/) to allow for comprehensive reporting and analysis.","Furthermore, these events are accessible through [Currents custom event objects]({{site.baseurl}}/user_guide/data/distribution/braze_currents/event_glossary/customer_behavior_events/) to allow for comprehensive reporting and analysis."
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,42,"- When utilizing the Braze integration, two campaigns is required, one in Punchh and the second in Braze. For example, if you send a campaign with an offer attached, the gifting campaign is configured within Punchh, and the notification can be sent from Braze.","- When utilizing the Braze integration, two campaigns are required, one in Punchh and the second in Braze. For example, if you send a campaign with an offer attached, the gifting campaign is configured within Punchh, and the notification can be sent from Braze."
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,189,"In many cases, Braze campaigns and Canvases being triggered by Punchh events can be set to an ""All Users"" audience since the segmentation of users triggering these events is determined within Punchh. However, customers looking to further refine the audience of users who receives the Braze messaging triggered by the event can do so by adding additional filters and segments in the **Target Audiences** section of the campaign composer or the **Entry Audience** of the Canvas composer. ","In many cases, Braze campaigns and Canvases being triggered by Punchh events can be set to an ""All Users"" audience since the segmentation of users triggering these events are determined within Punchh. However, customers looking to further refine the audience of users who receives the Braze messaging triggered by the event can do so by adding additional filters and segments in the **Target Audiences** section of the campaign composer or the **Entry Audience** of the Canvas composer. "
_docs/_partners/data_and_analytics/customer_data_platform/merkury.md,49,The following fields is populated by Merkury identity connector and need to be created in Braze as [custom attributes]({{site.baseurl}}/user_guide/data_and_analytics/custom_data/custom_attributes#custom-attributes).,The following fields are populated by Merkury identity connector and need to be created in Braze as [custom attributes]({{site.baseurl}}/user_guide/data_and_analytics/custom_data/custom_attributes#custom-attributes).
_docs/_partners/data_and_analytics/customer_data_platform/amperity.md,61,Custom attributes is updated only for those users that have a matching `external_id` or `braze_id` within Braze.,Custom attributes are updated only for those users that have a matching `external_id` or `braze_id` within Braze.
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_for_currents.md,41,"It's important to keep your Tealium URL up to date. If your connector's URL is incorrect, Braze is unable to send events. If this persists for more than **5 days**, the connector's events is dropped, and data is permanently lost.","It's important to keep your Tealium URL up to date. If your connector's URL is incorrect, Braze is unable to send events. If this persists for more than **5 days**, the connector's events are dropped, and data is permanently lost."
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,154,"| User attributes | Use existing Braze user profile field names to update user profile values in the Braze dashboard or add your own custom [user attribute]({{site.baseurl}}/api/objects_filters/user_attributes_object/) data to the user profiles.<br><br>- By default, new users is created if one does not exist.<br>- By setting **Update Existing Only** to `true`, only existing users is updated, and no new user is created.<br>- If a Tealium attribute is empty, it is converted to null and removed from the Braze user profile. Enrichments should be used if null values should not be sent to Braze to remove a user attribute. |","| User attributes | Use existing Braze user profile field names to update user profile values in the Braze dashboard or add your own custom [user attribute]({{site.baseurl}}/api/objects_filters/user_attributes_object/) data to the user profiles.<br><br>- By default, new users are created if one does not exist.<br>- By setting **Update Existing Only** to `true`, only existing users are updated, and no new user is created.<br>- If a Tealium attribute is empty, it is converted to null and removed from the Braze user profile. Enrichments should be used if null values should not be sent to Braze to remove a user attribute. |"
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,156,"| Event | An event represents a single occurrence of a custom event by a particular user at a timestamp. Use this field to track and map event attributes like those in the Braze [event object]({{site.baseurl}}/api/objects_filters/event_object/). <br><br>- Event attribute `Name` is required for every mapped event.<br>- Event attribute `Time` is automatically set to now unless explicitly mapped. <br>- By default, new events is created if one does not exist. By setting `Update Existing Only` to `true`, only existing events is updated, and no new event is created.<br>-  Map array type attributes to add multiple events. Array type attributes must be of equal length.<br>- Single value attributes can be used and applied to each event. |","| Event | An event represents a single occurrence of a custom event by a particular user at a timestamp. Use this field to track and map event attributes like those in the Braze [event object]({{site.baseurl}}/api/objects_filters/event_object/). <br><br>- Event attribute `Name` is required for every mapped event.<br>- Event attribute `Time` is automatically set to now unless explicitly mapped. <br>- By default, new events are created if one does not exist. By setting `Update Existing Only` to `true`, only existing events are updated, and no new event is created.<br>-  Map array type attributes to add multiple events. Array type attributes must be of equal length.<br>- Single value attributes can be used and applied to each event. |"
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,200,"| User attributes | Use existing Braze user profile field names to update user profile values in the Braze dashboard or add your own custom [user attribute]({{site.baseurl}}/api/objects_filters/user_attributes_object/) data to the user profiles.<br><br>- By default, new users is created if one does not exist.<br>- By setting **Update Existing Only** to `true`, only existing users is updated, and no new user is created.<br>- If a Tealium attribute is empty, it is converted to null and removed from the Braze user profile. Enrichments should be used if null values should not be sent to Braze to remove a user attribute. |","| User attributes | Use existing Braze user profile field names to update user profile values in the Braze dashboard or add your own custom [user attribute]({{site.baseurl}}/api/objects_filters/user_attributes_object/) data to the user profiles.<br><br>- By default, new users are created if one does not exist.<br>- By setting **Update Existing Only** to `true`, only existing users are updated, and no new user is created.<br>- If a Tealium attribute is empty, it is converted to null and removed from the Braze user profile. Enrichments should be used if null values should not be sent to Braze to remove a user attribute. |"
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,202,"| Event | An event represents a single occurrence of a custom event by a particular user at a timestamp. Use this field to track and map event attributes like those in the Braze [event object]({{site.baseurl}}/api/objects_filters/event_object/). <br><br>- Event attribute `Name` is required for every mapped event.<br>- Event attribute `Time` is automatically set to now unless explicitly mapped. <br>- By default, new events is created if one does not exist. By setting `Update Existing Only` to `true`, only existing events is updated, and no new event is created.<br>-  Map array type attributes to add multiple events. Array type attributes must be of equal length.<br>- Single value attributes can be used and applied to each event. |","| Event | An event represents a single occurrence of a custom event by a particular user at a timestamp. Use this field to track and map event attributes like those in the Braze [event object]({{site.baseurl}}/api/objects_filters/event_object/). <br><br>- Event attribute `Name` is required for every mapped event.<br>- Event attribute `Time` is automatically set to now unless explicitly mapped. <br>- By default, new events are created if one does not exist. By setting `Update Existing Only` to `true`, only existing events are updated, and no new event is created.<br>-  Map array type attributes to add multiple events. Array type attributes must be of equal length.<br>- Single value attributes can be used and applied to each event. |"
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,136,"If the React Native app initializes Braze with the same Braze app identifier for all devices, then all React Native users is considered Android or iOS users in Braze, and all push tokens is associated with that operating system.","If the React Native app initializes Braze with the same Braze app identifier for all devices, then all React Native users are considered Android or iOS users in Braze, and all push tokens are associated with that operating system."
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,195,"| Localization | By default, any SDK-generated user-visible messages is displayed in the user's browser language. Provide a value for this option to override that behavior and force a specific language. The value for this option should be an ISO 639-1 language code. |","| Localization | By default, any SDK-generated user-visible messages are displayed in the user's browser language. Provide a value for this option to override that behavior and force a specific language. The value for this option should be an ISO 639-1 language code. |"
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_for_currents.md,35,"It's important to keep your Segment write key up to date. If your connector's credentials expire, the connector will stop sending events. If this persists for more than **5 days**, the connector's events is dropped, and data is permanently lost.","It's important to keep your Segment write key up to date. If your connector's credentials expire, the connector will stop sending events. If this persists for more than **5 days**, the connector's events are dropped, and data is permanently lost."
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,51,"Keep your Amplitude API Key up to date. If your connector's credentials expire, the connector will stop sending events. If this persists for more than **48 hours**, the connector's events is dropped, and data is permanently lost.","Keep your Amplitude API Key up to date. If your connector's credentials expire, the connector will stop sending events. If this persists for more than **48 hours**, the connector's events are dropped, and data is permanently lost."
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,56,"In Braze, navigate to **Currents > + Create Current > Create Amplitude Export**. Provide an integration name, contact email, Amplitude export API key, and Amplitude region in the listed fields. Next, select the events you want to track; a list of available events is provided. Lastly, click **Launch Current**","In Braze, navigate to **Currents > + Create Current > Create Amplitude Export**. Provide an integration name, contact email, Amplitude export API key, and Amplitude region in the listed fields. Next, select the events you want to track; a list of available events are provided. Lastly, click **Launch Current**"
_docs/_partners/data_and_analytics/customer_data_platform/treasure_data/treasure_data_for_currents.md,50,"Keep your Treasure Data URL up to date. If your connector’s URL is incorrect, Braze won't be able to send events. If this persists for more than **5 days**, the connector’s events is dropped and data is permanently lost.","Keep your Treasure Data URL up to date. If your connector’s URL is incorrect, Braze won't be able to send events. If this persists for more than **5 days**, the connector’s events are dropped and data is permanently lost."
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,34,"You can think of this as mParticle ingesting a ""feed"" based on each individual app. For example, if you have one app for iOS, one for Android, and one for Web, your events is disjointed. This means if you provide the same credentials for each app, then one mParticle feed is used to receive all data for all of your apps, with no duplication.","You can think of this as mParticle ingesting a ""feed"" based on each individual app. For example, if you have one app for iOS, one for Android, and one for Web, your events are disjointed. This means if you provide the same credentials for each app, then one mParticle feed is used to receive all data for all of your apps, with no duplication."
_docs/_partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents.md,50,"As you create each input, mParticle provides you with a key and secret. Copy these credentials, making sure to note which feed each pair of credentials is for.","As you create each input, mParticle provides you with a key and secret. Copy these credentials, making sure to note which feed each pair of credentials are for."
